City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,tindouf,27.6711,-8.1474,301.4,44,40,6.17,DZ,1728840326
186,quelimane,-17.8786,36.8883,299.12,83,0,3.6,MZ,1728840327
187,bajil,15.0584,43.2851,305.89,47,76,4.4,YE,1728840328
188,voi,-3.3945,38.563,298.05,60,64,5.87,KE,1728840329
189,carbonear,47.7332,-53.2148,285.56,67,56,10.8,CA,1728840330
190,napili-honokowai,20.9708,-156.6705,299.36,76,34,5.12,US,1728840332
191,nueva concepcion,14.2,-91.3,302.25,74,63,2.1,GT,1728840333
192,brisas de zicatela,15.8369,-97.0419,303.44,70,0,1.54,MX,1728840334
193,west island,-12.1568,96.8225,300.14,83,20,6.17,CC,1728840335
194,san matias,-16.3667,-58.4,312.88,27,93,3.23,BO,1728840336
195,keflavik,64.0049,-22.5624,275.39,55,0,3.6,IS,1728840337
196,bugene,-1.5911,31.1403,292.68,50,47,1.24,TZ,1728840338
197,isafjordur,66.0755,-23.124,272.17,64,0,1.54,IS,1728840340
198,mendi,-6.1761,143.6513,287.23,100,100,0.8,PG,1728840341
199,hami,42.8,93.45,289.7,29,63,3.59,CN,1728840342
200,taroa,8.7058,171.2275,301.27,78,30,5.51,MH,1728840073
201,quimili,-27.6333,-62.4167,304.23,36,54,5.57,AR,1728840344
202,saham,24.1722,56.8886,301.83,68,6,2.09,OM,1728840345
203,chinchilla,-26.75,150.6333,288.72,88,99,0.45,AU,1728840346
204,rocha,-34.4833,-54.3333,296.01,49,100,2.45,UY,1728840347
205,kapuskasing,49.4169,-82.4331,279.15,56,20,3.6,CA,1728840182
206,saint-joseph,-21.3667,55.6167,294.36,73,56,6.34,RE,1728840350
207,talnakh,69.4865,88.3972,268.31,96,100,4.82,RU,1728840351
208,tolanaro,-25.0319,46.9987,296.19,83,20,9.77,MG,1728840352
209,lensk,60.7253,114.9278,265.58,87,100,2.33,RU,1728840353
210,zelenoborskiy,66.845,32.3622,277.28,94,97,3.03,RU,1728840354
211,adelia maria,-33.6315,-64.021,290.4,88,100,6.83,AR,1728840355
212,iskateley,67.6803,53.1512,274.71,93,14,5.67,RU,1728840356
213,shingu,33.7333,135.9833,293.2,81,68,3.22,JP,1728840357
214,georgetown,5.4112,100.3354,299.11,87,40,3.13,MY,1728840358
215,el calafate,-50.3408,-72.2768,283.22,59,100,6.96,AR,1728840359
216,chonchi,-42.6128,-73.8092,286.67,69,88,0.43,CL,1728840361
217,veraval,20.9,70.3667,301.26,82,99,2.12,IN,1728840362
218,erenhot,43.6475,111.9767,287.27,66,3,10.13,CN,1728840363
